,count_0,count_1,log_prob_0,log_prob_1
days,5.0,53.0,-8.669192988317644,-7.2055931534275395
dayuhang,0.0,6.0,-33.3044818307122,-9.384125597736826
dead,0.0,10.0,-33.3044818307122,-8.873299973977502
deal,5.0,24.0,-8.669192988317644,-7.997831236629436
dealing,1.0,8.0,-10.278630900671743,-9.096443525289212
dean,0.0,5.0,-33.3044818307122,-9.566447154527449
dearly,2.0,3.0,-9.585483720161799,-10.077272778280106
death,6.0,20.0,-8.486871431527021,-8.180152793422558
debate,2.0,6.0,-9.585483720161799,-9.384125597736826
debt,11.0,58.0,-7.880735627964281,-7.115442056433404
decade,3.0,4.0,-9.1800186120703,-9.789590705836657
decades,1.0,22.0,-10.278630900671743,-8.084842613618687
december,15.0,11.0,-7.570580699662866,-8.777989794174086
decent,6.0,14.0,-8.486871431527021,-8.536827737359147
decentralization,2.0,4.0,-9.585483720161799,-9.789590705836657
decide,0.0,11.0,-33.3044818307122,-8.777989794174086
decided,1.0,13.0,-10.278630900671743,-8.610935709512319
decision,8.0,13.0,-8.199189359079407,-8.610935709512319
decisions,7.0,18.0,-8.332720751702144,-8.285513309079828
decisive,3.0,10.0,-9.1800186120703,-8.873299973977502
decisively,3.0,8.0,-9.1800186120703,-9.096443525289212
declare,4.0,6.0,-8.892336539626852,-9.384125597736826
declared,1.0,13.0,-10.278630900671743,-8.610935709512319
decline,5.0,7.0,-8.669192988317644,-9.22997491791195
declined,3.0,9.0,-9.1800186120703,-8.978660489634217
decreased,5.0,1.0,-8.669192988317644,-11.175885066881548
dedicated,5.0,13.0,-8.669192988317644,-8.610935709512319
dedication,6.0,6.0,-8.486871431527021,-9.384125597736826
deeds,10.0,3.0,-7.976045807767697,-10.077272778280106
deep,7.0,14.0,-8.332720751702144,-8.536827737359147
deeply,1.0,9.0,-10.278630900671743,-8.978660489634217
defeat,2.0,6.0,-9.585483720161799,-9.384125597736826
defend,4.0,19.0,-8.892336539626852,-8.231446087809845
defense,39.0,37.0,-6.615069254639533,-7.564967154334621
deficiencies,3.0,2.0,-9.1800186120703,-10.482737886371604
deficit,15.0,33.0,-7.570580699662866,-7.679377505512038
deficits,0.0,9.0,-33.3044818307122,-8.978660489634217
definite,8.0,1.0,-8.199189359079407,-11.175885066881548
degradation,1.0,9.0,-10.278630900671743,-8.978660489634217
degree,11.0,3.0,-7.880735627964281,-10.077272778280106
dekada,0.0,10.0,-33.3044818307122,-8.873299973977502
del,3.0,22.0,-9.1800186120703,-8.084842613618687
dela,0.0,5.0,-33.3044818307122,-9.566447154527449
delay,9.0,17.0,-8.081406323424412,-8.34267172291945
delayed,1.0,5.0,-10.278630900671743,-9.566447154527449
delays,1.0,5.0,-10.278630900671743,-9.566447154527449
deliver,3.0,26.0,-9.1800186120703,-7.917788528956221
delivered,6.0,42.0,-8.486871431527021,-7.438215448695799
delivery,1.0,24.0,-10.278630900671743,-7.997831236629436
demand,20.0,19.0,-7.282898627212752,-8.231446087809845
demands,9.0,12.0,-8.081406323424412,-8.690978417185214
democracy,31.0,104.0,-6.844643696283371,-6.531494167839214
democratic,20.0,27.0,-7.282898627212752,-7.8800482009735155
demonstrated,3.0,6.0,-9.1800186120703,-9.384125597736826
denied,6.0,2.0,-8.486871431527021,-10.482737886371604
denr,0.0,8.0,-33.3044818307122,-9.096443525289212
deny,2.0,9.0,-9.585483720161799,-8.978660489634217
department,36.0,122.0,-6.695111962312856,-6.371864022247472
departments,3.0,16.0,-9.1800186120703,-8.403296344735518
departure,2.0,3.0,-9.585483720161799,-10.077272778280106
deped,0.0,11.0,-33.3044818307122,-8.777989794174086
depend,5.0,8.0,-8.669192988317644,-9.096443525289212
dependence,4.0,3.0,-8.892336539626852,-10.077272778280106
dependent,8.0,1.0,-8.199189359079407,-11.175885066881548
dependents,2.0,5.0,-9.585483720161799,-9.566447154527449
depends,1.0,5.0,-10.278630900671743,-9.566447154527449
deposit,3.0,3.0,-9.1800186120703,-10.077272778280106
deposits,11.0,0.0,-7.880735627964281,-34.201735996922004
deserve,10.0,14.0,-7.976045807767697,-8.536827737359147
deserving,3.0,3.0,-9.1800186120703,-10.077272778280106
designed,19.0,10.0,-7.3341919216000395,-8.873299973977502
desirable,15.0,0.0,-7.570580699662866,-34.201735996922004
desire,16.0,14.0,-7.506042178525712,-8.536827737359147
desired,6.0,5.0,-8.486871431527021,-9.566447154527449
desisyon,0.0,9.0,-33.3044818307122,-8.978660489634217
despair,0.0,7.0,-33.3044818307122,-9.22997491791195
destination,0.0,11.0,-33.3044818307122,-8.777989794174086
destinations,0.0,7.0,-33.3044818307122,-9.22997491791195
destiny,7.0,5.0,-8.332720751702144,-9.566447154527449
destroy,4.0,18.0,-8.892336539626852,-8.285513309079828
destroyed,4.0,4.0,-8.892336539626852,-9.789590705836657
destroying,3.0,8.0,-9.1800186120703,-9.096443525289212
destruction,0.0,11.0,-33.3044818307122,-8.777989794174086
destructive,6.0,3.0,-8.486871431527021,-10.077272778280106
detailed,3.0,6.0,-9.1800186120703,-9.384125597736826
deter,6.0,4.0,-8.486871431527021,-9.789590705836657
determination,15.0,17.0,-7.570580699662866,-8.34267172291945
determine,5.0,4.0,-8.669192988317644,-9.789590705836657
determined,14.0,17.0,-7.6395735711493415,-8.34267172291945
devastated,2.0,4.0,-9.585483720161799,-9.789590705836657
devastation,0.0,5.0,-33.3044818307122,-9.566447154527449
develop,15.0,32.0,-7.570580699662866,-7.710149164178697
developed,13.0,7.0,-7.713681543302513,-9.22997491791195
developing,15.0,13.0,-7.570580699662866,-8.610935709512319
development,250.0,276.0,-4.7571699829090965,-5.555484201264036
developmental,7.0,3.0,-8.332720751702144,-10.077272778280106
developments,12.0,13.0,-7.793724250975409,-8.610935709512319
devoted,5.0,4.0,-8.669192988317644,-9.789590705836657
di,0.0,123.0,-33.3044818307122,-6.363700711608318
dialogue,0.0,8.0,-33.3044818307122,-9.096443525289212
dictatorship,4.0,10.0,-8.892336539626852,-8.873299973977502
die,2.0,11.0,-9.585483720161799,-8.777989794174086
difference,3.0,12.0,-9.1800186120703,-8.690978417185214
differences,5.0,5.0,-8.669192988317644,-9.566447154527449
difficult,7.0,13.0,-8.332720751702144,-8.610935709512319
difficulties,20.0,10.0,-7.282898627212752,-8.873299973977502
difficulty,5.0,1.0,-8.669192988317644,-11.175885066881548
dig,0.0,9.0,-33.3044818307122,-8.978660489634217
digit,0.0,11.0,-33.3044818307122,-8.777989794174086
digital,0.0,16.0,-33.3044818307122,-8.403296344735518
dignity,11.0,9.0,-7.880735627964281,-8.978660489634217
dilg,0.0,11.0,-33.3044818307122,-8.777989794174086
diminished,3.0,2.0,-9.1800186120703,-10.482737886371604
dinatnan,0.0,11.0,-33.3044818307122,-8.777989794174086
diosdado,5.0,5.0,-8.669192988317644,-9.566447154527449
diplomacy,0.0,9.0,-33.3044818307122,-8.978660489634217
diplomatic,10.0,38.0,-7.976045807767697,-7.538298907252531
direct,19.0,26.0,-7.3341919216000395,-7.917788528956221
directed,9.0,20.0,-8.081406323424412,-8.180152793422558
directing,3.0,10.0,-9.1800186120703,-8.873299973977502
direction,14.0,9.0,-7.6395735711493415,-8.978660489634217
director,0.0,9.0,-33.3044818307122,-8.978660489634217
directors,1.0,6.0,-10.278630900671743,-9.384125597736826
diretso,0.0,6.0,-33.3044818307122,-9.384125597736826
disabled,1.0,5.0,-10.278630900671743,-9.566447154527449
disadvantaged,0.0,11.0,-33.3044818307122,-8.777989794174086
disaster,7.0,33.0,-8.332720751702144,-7.679377505512038
disasters,5.0,9.0,-8.669192988317644,-8.978660489634217
discharge,6.0,2.0,-8.486871431527021,-10.482737886371604
discipline,8.0,21.0,-8.199189359079407,-8.131362629253363
disciplined,1.0,5.0,-10.278630900671743,-9.566447154527449
discovered,4.0,2.0,-8.892336539626852,-10.482737886371604
discretion,1.0,4.0,-10.278630900671743,-9.789590705836657
discuss,2.0,6.0,-9.585483720161799,-9.384125597736826
disease,9.0,11.0,-8.081406323424412,-8.777989794174086
diseases,10.0,2.0,-7.976045807767697,-10.482737886371604
dismantle,0.0,6.0,-33.3044818307122,-9.384125597736826
dismantling,1.0,4.0,-10.278630900671743,-9.789590705836657
disperse,0.0,5.0,-33.3044818307122,-9.566447154527449
disposal,4.0,3.0,-8.892336539626852,-10.077272778280106
disposition,2.0,7.0,-9.585483720161799,-9.22997491791195
disputes,4.0,7.0,-8.892336539626852,-9.22997491791195
dissident,10.0,1.0,-7.976045807767697,-11.175885066881548
distance,0.0,5.0,-33.3044818307122,-9.566447154527449
distant,0.0,5.0,-33.3044818307122,-9.566447154527449
distinct,0.0,6.0,-33.3044818307122,-9.384125597736826
distinguished,1.0,21.0,-10.278630900671743,-8.131362629253363
distributed,11.0,12.0,-7.880735627964281,-8.690978417185214
distribution,27.0,16.0,-6.98279403476371,-8.403296344735518
district,0.0,7.0,-33.3044818307122,-9.22997491791195
divide,0.0,6.0,-33.3044818307122,-9.384125597736826
divided,3.0,10.0,-9.1800186120703,-8.873299973977502
dividends,0.0,8.0,-33.3044818307122,-9.096443525289212
divine,5.0,0.0,-8.669192988317644,-34.201735996922004
division,2.0,8.0,-9.585483720161799,-9.096443525289212
diyos,0.0,13.0,-33.3044818307122,-8.610935709512319
doh,0.0,7.0,-33.3044818307122,-9.22997491791195
doktor,0.0,6.0,-33.3044818307122,-9.384125597736826
dole,1.0,11.0,-10.278630900671743,-8.777989794174086
dollar,17.0,14.0,-7.445417556709645,-8.536827737359147
dollars,6.0,8.0,-8.486871431527021,-9.096443525289212
domain,1.0,12.0,-10.278630900671743,-8.690978417185214
domestic,69.0,33.0,-6.044524396173035,-7.679377505512038
domingo,0.0,6.0,-33.3044818307122,-9.384125597736826
dominguez,0.0,7.0,-33.3044818307122,-9.22997491791195
door,0.0,7.0,-33.3044818307122,-9.22997491791195
dost,0.0,12.0,-33.3044818307122,-8.690978417185214
double,3.0,16.0,-9.1800186120703,-8.403296344735518
doubled,2.0,5.0,-9.585483720161799,-9.566447154527449
doubt,4.0,8.0,-8.892336539626852,-9.096443525289212
doubts,3.0,2.0,-9.1800186120703,-10.482737886371604
dpwh,0.0,28.0,-33.3044818307122,-7.843680556802774
drastic,5.0,2.0,-8.669192988317644,-10.482737886371604
drastically,0.0,5.0,-33.3044818307122,-9.566447154527449
draw,5.0,9.0,-8.669192988317644,-8.978660489634217
drawn,2.0,3.0,-9.585483720161799,-10.077272778280106
dream,3.0,17.0,-9.1800186120703,-8.34267172291945
dreams,1.0,4.0,-10.278630900671743,-9.789590705836657
drilon,0.0,21.0,-33.3044818307122,-8.131362629253363
drive,13.0,21.0,-7.713681543302513,-8.131362629253363
driven,1.0,9.0,-10.278630900671743,-8.978660489634217
driver,0.0,10.0,-33.3044818307122,-8.873299973977502
droga,0.0,18.0,-33.3044818307122,-8.285513309079828
drop,5.0,15.0,-8.669192988317644,-8.467834865872671
dropped,8.0,9.0,-8.199189359079407,-8.978660489634217
drug,2.0,67.0,-9.585483720161799,-6.97119244758909
drugs,5.0,66.0,-8.669192988317644,-6.986230324953608
dswd,0.0,15.0,-33.3044818307122,-8.467834865872671
dumaan,0.0,10.0,-33.3044818307122,-8.873299973977502
dumako,0.0,7.0,-33.3044818307122,-9.22997491791195
dumami,0.0,6.0,-33.3044818307122,-9.384125597736826
dumating,0.0,30.0,-33.3044818307122,-7.77468768531606
duterte,0.0,23.0,-33.3044818307122,-8.040390851048052
duties,15.0,11.0,-7.570580699662866,-8.777989794174086
duty,23.0,31.0,-7.143136684838246,-7.741897862493176
dwell,3.0,4.0,-9.1800186120703,-9.789590705836657
dynamic,15.0,2.0,-7.570580699662866,-10.482737886371604
dynamics,0.0,5.0,-33.3044818307122,-9.566447154527449
earlier,2.0,13.0,-9.585483720161799,-8.610935709512319
earn,4.0,6.0,-8.892336539626852,-9.384125597736826
earned,1.0,8.0,-10.278630900671743,-9.096443525289212
earners,6.0,4.0,-8.486871431527021,-9.789590705836657
earnest,7.0,3.0,-8.332720751702144,-10.077272778280106
earnestly,3.0,3.0,-9.1800186120703,-10.077272778280106
earning,4.0,6.0,-8.892336539626852,-9.384125597736826
earnings,9.0,8.0,-8.081406323424412,-9.096443525289212
earth,2.0,11.0,-9.585483720161799,-8.777989794174086
earthquake,0.0,10.0,-33.3044818307122,-8.873299973977502
ease,2.0,14.0,-9.585483720161799,-8.536827737359147
easier,5.0,12.0,-8.669192988317644,-8.690978417185214
easily,4.0,10.0,-8.892336539626852,-8.873299973977502
east,8.0,38.0,-8.199189359079407,-7.538298907252531
eastern,4.0,8.0,-8.892336539626852,-9.096443525289212
easy,6.0,18.0,-8.486871431527021,-8.285513309079828
ecija,11.0,4.0,-7.880735627964281,-9.789590705836657
economic,331.0,232.0,-4.476512525394378,-5.729147695314808
economically,2.0,6.0,-9.585483720161799,-9.384125597736826
economics,0.0,6.0,-33.3044818307122,-9.384125597736826
economies,1.0,18.0,-10.278630900671743,-8.285513309079828
economy,85.0,193.0,-5.8359796442802505,-5.913194878076145
edge,0.0,9.0,-33.3044818307122,-8.978660489634217
edsa,0.0,22.0,-33.3044818307122,-8.084842613618687
educate,4.0,2.0,-8.892336539626852,-10.482737886371604
education,46.0,123.0,-6.449989504280474,-6.363700711608318
educational,10.0,16.0,-7.976045807767697,-8.403296344735518
edukasyon,0.0,30.0,-33.3044818307122,-7.77468768531606
effected,12.0,2.0,-7.793724250975409,-10.482737886371604
effective,54.0,47.0,-6.289646854205617,-7.325737465269363
effectively,15.0,7.0,-7.570580699662866,-9.22997491791195
effectiveness,3.0,14.0,-9.1800186120703,-8.536827737359147
effects,9.0,15.0,-8.081406323424412,-8.467834865872671
efficiency,24.0,29.0,-7.1005770704196305,-7.808589236991626
efficient,17.0,30.0,-7.445417556709645,-7.77468768531606
efficiently,8.0,4.0,-8.199189359079407,-9.789590705836657
effort,31.0,46.0,-6.844643696283371,-7.347243670490279
efforts,80.0,78.0,-5.896604266096611,-6.819176240290674
eighth,2.0,3.0,-9.585483720161799,-10.077272778280106
ejercito,0.0,15.0,-33.3044818307122,-8.467834865872671
ekonomiya,0.0,58.0,-33.3044818307122,-7.115442056433404
ektarya,0.0,15.0,-33.3044818307122,-8.467834865872671
el,1.0,8.0,-10.278630900671743,-9.096443525289212
elected,4.0,23.0,-8.892336539626852,-8.040390851048052
election,12.0,22.0,-7.793724250975409,-8.084842613618687
elections,1.0,39.0,-10.278630900671743,-7.512323420849338
elective,3.0,3.0,-9.1800186120703,-10.077272778280106
electoral,6.0,21.0,-8.486871431527021,-8.131362629253363
electric,11.0,26.0,-7.880735627964281,-7.917788528956221
electricity,2.0,23.0,-9.585483720161799,-8.040390851048052
electrification,9.0,7.0,-8.081406323424412,-9.22997491791195
electronic,0.0,10.0,-33.3044818307122,-8.873299973977502
electronics,1.0,10.0,-10.278630900671743,-8.873299973977502
elementary,7.0,10.0,-8.332720751702144,-8.873299973977502
elements,17.0,7.0,-7.445417556709645,-9.22997491791195
elevated,5.0,7.0,-8.669192988317644,-9.22997491791195
eliminate,8.0,9.0,-8.199189359079407,-8.978660489634217
elpidio,6.0,0.0,-8.486871431527021,-34.201735996922004
embarked,6.0,4.0,-8.486871431527021,-9.789590705836657
embrace,1.0,7.0,-10.278630900671743,-9.22997491791195
emergency,11.0,25.0,-7.880735627964281,-7.957009242109348
emerging,0.0,12.0,-33.3044818307122,-8.690978417185214
emphasis,15.0,5.0,-7.570580699662866,-9.566447154527449
emphasize,12.0,6.0,-7.793724250975409,-9.384125597736826
emphasized,5.0,3.0,-8.669192988317644,-10.077272778280106
empleyado,0.0,8.0,-33.3044818307122,-9.096443525289212
employ,5.0,6.0,-8.669192988317644,-9.384125597736826
employees,18.0,11.0,-7.388259142870023,-8.777989794174086
employer,4.0,5.0,-8.892336539626852,-9.566447154527449
employers,1.0,5.0,-10.278630900671743,-9.566447154527449
employment,35.0,31.0,-6.723282839279472,-7.741897862493176
empowered,0.0,10.0,-33.3044818307122,-8.873299973977502
empowerment,0.0,7.0,-33.3044818307122,-9.22997491791195
en,4.0,3.0,-8.892336539626852,-10.077272778280106
enable,20.0,29.0,-7.282898627212752,-7.808589236991626
enabled,4.0,10.0,-8.892336539626852,-8.873299973977502
enables,0.0,6.0,-33.3044818307122,-9.384125597736826
enabling,2.0,7.0,-9.585483720161799,-9.22997491791195
enact,4.0,17.0,-8.892336539626852,-8.34267172291945
enacted,15.0,9.0,-7.570580699662866,-8.978660489634217
enactment,14.0,7.0,-7.6395735711493415,-9.22997491791195
encourage,23.0,22.0,-7.143136684838246,-8.084842613618687
encouraged,6.0,11.0,-8.486871431527021,-8.777989794174086
encouragement,8.0,0.0,-8.199189359079407,-34.201735996922004
encouraging,12.0,8.0,-7.793724250975409,-9.096443525289212
endeavor,16.0,7.0,-7.506042178525712,-9.22997491791195
endeavored,3.0,3.0,-9.1800186120703,-10.077272778280106
endeavors,5.0,4.0,-8.669192988317644,-9.789590705836657
endure,1.0,8.0,-10.278630900671743,-9.096443525289212
enduring,4.0,7.0,-8.892336539626852,-9.22997491791195
enemies,2.0,11.0,-9.585483720161799,-8.777989794174086
enemy,6.0,16.0,-8.486871431527021,-8.403296344735518
energies,9.0,4.0,-8.081406323424412,-9.789590705836657
energized,0.0,7.0,-33.3044818307122,-9.22997491791195
energy,5.0,83.0,-8.669192988317644,-6.757044459183746
enerhiya,0.0,8.0,-33.3044818307122,-9.096443525289212
enforce,4.0,9.0,-8.892336539626852,-8.978660489634217
enforced,4.0,4.0,-8.892336539626852,-9.789590705836657
enforcement,9.0,17.0,-8.081406323424412,-8.34267172291945
enforcers,0.0,6.0,-33.3044818307122,-9.384125597736826
engage,0.0,9.0,-33.3044818307122,-8.978660489634217
engaged,9.0,11.0,-8.081406323424412,-8.777989794174086
engineer,2.0,4.0,-9.585483720161799,-9.789590705836657
engineering,1.0,13.0,-10.278630900671743,-8.610935709512319
english,1.0,23.0,-10.278630900671743,-8.040390851048052
enhance,4.0,27.0,-8.892336539626852,-7.8800482009735155
enhanced,5.0,6.0,-8.669192988317644,-9.384125597736826
enhancement,0.0,6.0,-33.3044818307122,-9.384125597736826
enhancing,3.0,15.0,-9.1800186120703,-8.467834865872671
enjoy,12.0,11.0,-7.793724250975409,-8.777989794174086
enjoyed,5.0,3.0,-8.669192988317644,-10.077272778280106
enjoyment,5.0,2.0,-8.669192988317644,-10.482737886371604
enlisted,5.0,1.0,-8.669192988317644,-11.175885066881548
enormous,2.0,3.0,-9.585483720161799,-10.077272778280106
enrile,0.0,5.0,-33.3044818307122,-9.566447154527449
enrollment,5.0,3.0,-8.669192988317644,-10.077272778280106
ensure,9.0,76.0,-8.081406323424412,-6.845151726693902
ensuring,2.0,12.0,-9.585483720161799,-8.690978417185214
enter,5.0,5.0,-8.669192988317644,-9.566447154527449
entered,5.0,2.0,-8.669192988317644,-10.482737886371604
enterprise,21.0,14.0,-7.234108463043558,-8.536827737359147
enterprises,26.0,41.0,-7.020534362746416,-7.4623130002748015
entire,8.0,31.0,-8.199189359079407,-7.741897862493176
entities,5.0,2.0,-8.669192988317644,-10.482737886371604
entitled,9.0,4.0,-8.081406323424412,-9.789590705836657
entrepreneurs,3.0,8.0,-9.1800186120703,-9.096443525289212
entrusted,6.0,3.0,-8.486871431527021,-10.077272778280106
entry,3.0,9.0,-9.1800186120703,-8.978660489634217
environment,2.0,70.0,-9.585483720161799,-6.927389824930761
environmental,1.0,25.0,-10.278630900671743,-7.957009242109348
envisioned,4.0,4.0,-8.892336539626852,-9.789590705836657
equal,10.0,9.0,-7.976045807767697,-8.978660489634217
equality,0.0,10.0,-33.3044818307122,-8.873299973977502
equally,12.0,5.0,-7.793724250975409,-9.566447154527449
equip,1.0,4.0,-10.278630900671743,-9.789590705836657
equipment,21.0,27.0,-7.234108463043558,-7.8800482009735155
equipped,1.0,10.0,-10.278630900671743,-8.873299973977502
equitable,6.0,21.0,-8.486871431527021,-8.131362629253363
equity,0.0,15.0,-33.3044818307122,-8.467834865872671
equivalent,3.0,3.0,-9.1800186120703,-10.077272778280106
era,6.0,9.0,-8.486871431527021,-8.978660489634217
eradicate,3.0,6.0,-9.1800186120703,-9.384125597736826
ernment,11.0,0.0,-7.880735627964281,-34.201735996922004
eroplano,0.0,6.0,-33.3044818307122,-9.384125597736826
error,2.0,4.0,-9.585483720161799,-9.789590705836657
eskwelahan,0.0,5.0,-33.3044818307122,-9.566447154527449
essential,70.0,12.0,-6.030135658720956,-8.690978417185214
establish,28.0,20.0,-6.946426390592968,-8.180152793422558
established,44.0,22.0,-6.49444126685121,-8.084842613618687
establishing,5.0,17.0,-8.669192988317644,-8.34267172291945
establishment,37.0,14.0,-6.667712988124816,-8.536827737359147
establishments,3.0,6.0,-9.1800186120703,-9.384125597736826
estado,0.0,25.0,-33.3044818307122,-7.957009242109348
estate,3.0,3.0,-9.1800186120703,-10.077272778280106
estates,13.0,2.0,-7.713681543302513,-10.482737886371604
estimated,20.0,3.0,-7.282898627212752,-10.077272778280106
estrada,0.0,19.0,-33.3044818307122,-8.231446087809845
estudyante,0.0,12.0,-33.3044818307122,-8.690978417185214
estudyanteng,0.0,6.0,-33.3044818307122,-9.384125597736826
europe,3.0,6.0,-9.1800186120703,-9.384125597736826
european,1.0,16.0,-10.278630900671743,-8.403296344735518
evaders,2.0,9.0,-9.585483720161799,-8.978660489634217
evasion,5.0,12.0,-8.669192988317644,-8.690978417185214
event,5.0,7.0,-8.669192988317644,-9.22997491791195
events,5.0,10.0,-8.669192988317644,-8.873299973977502
eventual,3.0,4.0,-9.1800186120703,-9.789590705836657
eventually,8.0,10.0,-8.199189359079407,-8.873299973977502
everyday,0.0,14.0,-33.3044818307122,-8.536827737359147
evidence,4.0,7.0,-8.892336539626852,-9.22997491791195
evident,5.0,7.0,-8.669192988317644,-9.22997491791195
evils,4.0,3.0,-8.892336539626852,-10.077272778280106
examination,7.0,2.0,-8.332720751702144,-10.482737886371604
examine,8.0,5.0,-8.199189359079407,-9.566447154527449
excellencies,0.0,14.0,-33.3044818307122,-8.536827737359147
excellency,14.0,38.0,-7.6395735711493415,-7.538298907252531
excess,5.0,5.0,-8.669192988317644,-9.566447154527449
excessive,1.0,4.0,-10.278630900671743,-9.789590705836657
exchange,76.0,25.0,-5.947897560484097,-7.957009242109348
exclusive,2.0,5.0,-9.585483720161799,-9.566447154527449
excuse,3.0,7.0,-9.1800186120703,-9.22997491791195
execute,1.0,4.0,-10.278630900671743,-9.789590705836657
execution,4.0,3.0,-8.892336539626852,-10.077272778280106
executive,36.0,87.0,-6.695111962312856,-6.709976948325815
executives,0.0,10.0,-33.3044818307122,-8.873299973977502
exemption,6.0,3.0,-8.486871431527021,-10.077272778280106
exemptions,2.0,8.0,-9.585483720161799,-9.096443525289212
exercise,9.0,8.0,-8.081406323424412,-9.096443525289212
exert,5.0,3.0,-8.669192988317644,-10.077272778280106
exerted,6.0,1.0,-8.486871431527021,-11.175885066881548
exist,4.0,4.0,-8.892336539626852,-9.789590705836657
existence,8.0,2.0,-8.199189359079407,-10.482737886371604
existing,28.0,23.0,-6.946426390592968,-8.040390851048052
exists,1.0,4.0,-10.278630900671743,-9.789590705836657
expand,25.0,15.0,-7.059755075899543,-8.467834865872671
expanded,12.0,12.0,-7.793724250975409,-8.690978417185214
expanding,17.0,14.0,-7.445417556709645,-8.536827737359147
expansion,30.0,11.0,-6.877433519106255,-8.777989794174086
expect,12.0,28.0,-7.793724250975409,-7.843680556802774
expectations,4.0,3.0,-8.892336539626852,-10.077272778280106
expected,15.0,20.0,-7.570580699662866,-8.180152793422558
expenditure,8.0,5.0,-8.199189359079407,-9.566447154527449
expenditures,25.0,13.0,-7.059755075899543,-8.610935709512319
expenses,13.0,6.0,-7.713681543302513,-9.384125597736826
expensive,3.0,4.0,-9.1800186120703,-9.789590705836657
experience,12.0,17.0,-7.793724250975409,-8.34267172291945
experienced,2.0,9.0,-9.585483720161799,-8.978660489634217
expertise,0.0,5.0,-33.3044818307122,-9.566447154527449
experts,1.0,8.0,-10.278630900671743,-9.096443525289212
exploitation,11.0,2.0,-7.880735627964281,-10.482737886371604
exploited,3.0,2.0,-9.1800186120703,-10.482737886371604
exploration,3.0,2.0,-9.1800186120703,-10.482737886371604
explore,2.0,3.0,-9.585483720161799,-10.077272778280106
export,50.0,27.0,-6.3666078953415965,-7.8800482009735155
exporters,3.0,5.0,-9.1800186120703,-9.566447154527449
exports,16.0,28.0,-7.506042178525712,-7.843680556802774
exposed,2.0,4.0,-9.585483720161799,-9.789590705836657
express,6.0,7.0,-8.486871431527021,-9.22997491791195
expressed,4.0,9.0,-8.892336539626852,-8.978660489634217
expression,4.0,6.0,-8.892336539626852,-9.384125597736826
expressway,0.0,30.0,-33.3044818307122,-7.77468768531606
extend,10.0,15.0,-7.976045807767697,-8.467834865872671
extended,17.0,10.0,-7.445417556709645,-8.873299973977502
extending,5.0,7.0,-8.669192988317644,-9.22997491791195
extension,17.0,17.0,-7.445417556709645,-8.34267172291945
extensive,8.0,6.0,-8.199189359079407,-9.384125597736826
extent,12.0,5.0,-7.793724250975409,-9.566447154527449
external,30.0,26.0,-6.877433519106255,-7.917788528956221
extra,2.0,5.0,-9.585483720161799,-9.566447154527449
extraordinary,3.0,5.0,-9.1800186120703,-9.566447154527449
extreme,2.0,4.0,-9.585483720161799,-9.789590705836657
extremely,6.0,2.0,-8.486871431527021,-10.482737886371604
eye,1.0,5.0,-10.278630900671743,-9.566447154527449
eyes,4.0,2.0,-8.892336539626852,-10.482737886371604
fabric,1.0,4.0,-10.278630900671743,-9.789590705836657
faced,8.0,6.0,-8.199189359079407,-9.384125597736826
facilitate,5.0,9.0,-8.669192988317644,-8.978660489634217
facilitated,6.0,1.0,-8.486871431527021,-11.175885066881548
facilities,51.0,32.0,-6.346805268045457,-7.710149164178697
facility,1.0,7.0,-10.278630900671743,-9.22997491791195
facing,9.0,13.0,-8.081406323424412,-8.610935709512319
factor,7.0,3.0,-8.332720751702144,-10.077272778280106
factories,8.0,7.0,-8.199189359079407,-9.22997491791195
factors,8.0,3.0,-8.199189359079407,-10.077272778280106
factory,3.0,3.0,-9.1800186120703,-10.077272778280106
fail,4.0,9.0,-8.892336539626852,-8.978660489634217
failed,3.0,12.0,-9.1800186120703,-8.690978417185214
failure,10.0,13.0,-7.976045807767697,-8.610935709512319
fair,11.0,17.0,-7.880735627964281,-8.34267172291945
faith,21.0,37.0,-7.234108463043558,-7.564967154334621
fall,2.0,6.0,-9.585483720161799,-9.384125597736826
fallen,0.0,5.0,-33.3044818307122,-9.566447154527449
false,3.0,2.0,-9.1800186120703,-10.482737886371604
falter,2.0,3.0,-9.585483720161799,-10.077272778280106
families,24.0,44.0,-7.1005770704196305,-7.391695433061015
family,5.0,49.0,-8.669192988317644,-7.28406476886888
farm,28.0,19.0,-6.946426390592968,-8.231446087809845
farmer,10.0,11.0,-7.976045807767697,-8.777989794174086
farmers,59.0,58.0,-6.201093456864329,-7.115442056433404
farming,6.0,6.0,-8.486871431527021,-9.384125597736826
farms,9.0,7.0,-8.081406323424412,-9.22997491791195
fast,6.0,31.0,-8.486871431527021,-7.741897862493176
faster,3.0,10.0,-9.1800186120703,-8.873299973977502
fastest,0.0,7.0,-33.3044818307122,-9.22997491791195
fate,1.0,5.0,-10.278630900671743,-9.566447154527449
father,0.0,21.0,-33.3044818307122,-8.131362629253363
favor,2.0,9.0,-9.585483720161799,-8.978660489634217
favorable,14.0,4.0,-7.6395735711493415,-9.789590705836657
fear,7.0,21.0,-8.332720751702144,-8.131362629253363
fears,2.0,5.0,-9.585483720161799,-9.566447154527449
feature,3.0,6.0,-9.1800186120703,-9.384125597736826
february,3.0,8.0,-9.1800186120703,-9.096443525289212
federal,2.0,13.0,-9.585483720161799,-8.610935709512319
